celltype,n_cells
IgD-ve Memory,3040
IgD+ve Memory,2708
NAIVE 1,1943
NAIVE 2,1776
ASC 2,1618
DN2,597
HSP+,561
Cell-Cycling,322
Early-Activation,279
ASC 3,221
Transitional,189
ASC 1,175
