celltype,umap_1,umap_2
Transitional,5.6222496,12.793834
NAIVE 1,0.066742,6.8309197
NAIVE 2,1.2807233,10.601399
Early-Activation,-1.6522354,3.775349
IgD+ve Memory,2.147385,4.9458966
IgD-ve Memory,3.1786966,7.3809967
HSP+,5.036285,9.102318
DN2,8.062836,11.710798
ASC 1,10.323272,0.64345676
ASC 2,12.281992,1.1063948
ASC 3,12.806817,1.0437179
Cell-Cycling,9.109306,6.8462543
