"UMAP_1","UMAP_2","curve_order_value","Lineage","order"
-4.24695446970745,0.381172683646322,1,"Lineage_1",1
-4.06146766123614,0.408969664272797,2,"Lineage_1",2
-3.87567821518837,0.434661245672595,3,"Lineage_1",3
-3.6895605387134,0.457861130811806,4,"Lineage_1",4
-3.50308198998053,0.477978603348177,5,"Lineage_1",5
-3.31622475344161,0.49417683672352,6,"Lineage_1",6
-3.12906057842833,0.506153815734484,7,"Lineage_1",7
-2.9416696487311,0.513514677012772,8,"Lineage_1",8
-2.75415339157525,0.51591086445556,9,"Lineage_1",9
-2.56661966565084,0.513033063597994,10,"Lineage_1",10
-2.37939106714804,0.501878972803766,11,"Lineage_1",11
-2.19277518400639,0.483596666412691,12,"Lineage_1",12
-2.00704053363094,0.458086944079474,13,"Lineage_1",13
-1.82243325336163,0.425088812815166,14,"Lineage_1",14
-1.64026376612279,0.380443099046566,15,"Lineage_1",15
-1.46089430970572,0.326000385986107,16,"Lineage_1",16
-1.28448004475361,0.262708446487288,17,"Lineage_1",17
-1.11145573435697,0.190309897810286,18,"Lineage_1",18
-0.94493846325983,0.104015934845466,19,"Lineage_1",19
-0.783375207401015,0.00906142318895504,20,"Lineage_1",20
-0.62702868847314,-0.0943340390800308,21,"Lineage_1",21
-0.477373795406164,-0.207393204209979,22,"Lineage_1",22
-0.336240829663707,-0.330827956989013,23,"Lineage_1",23
-0.201702288986661,-0.461306201571734,24,"Lineage_1",24
-0.074083308809998,-0.598637613241101,25,"Lineage_1",25
0.0451415454933053,-0.743428482964037,26,"Lineage_1",26
0.154577417364115,-0.895697274937989,27,"Lineage_1",27
0.256014095510308,-1.05333020755345,28,"Lineage_1",28
0.348960468634103,-1.21611739967631,29,"Lineage_1",29
0.432911237879536,-1.38377635532945,30,"Lineage_1",30
0.507306776181614,-1.55595145724465,31,"Lineage_1",31
0.570633252612053,-1.73249157673278,32,"Lineage_1",32
0.624472185142428,-1.91210781921369,33,"Lineage_1",33
0.668605891011471,-2.0943330913759,34,"Lineage_1",34
0.702924723769092,-2.27865462343919,35,"Lineage_1",35
0.727464199053332,-2.46453391084076,36,"Lineage_1",36
0.742388064563027,-2.65143653317858,37,"Lineage_1",37
0.747942908054528,-2.83885719634247,38,"Lineage_1",38
0.744420829247274,-3.02633183205692,39,"Lineage_1",39
0.732116018908525,-3.21343882016389,40,"Lineage_1",40
0.711264536434925,-3.39978882038369,41,"Lineage_1",41
0.67580782648225,-3.58369762383658,42,"Lineage_1",42
0.615595547221735,-3.76069597322798,43,"Lineage_1",43
0.532357562227262,-3.92865655524536,44,"Lineage_1",44
0.445940285106681,-4.09512281625291,45,"Lineage_1",45
0.359523007986099,-4.26158907726045,46,"Lineage_1",46
0.273105730865517,-4.428055338268,47,"Lineage_1",47
0.186688453744936,-4.59452159927555,48,"Lineage_1",48
0.100271176624354,-4.7609878602831,49,"Lineage_1",49
0.0138538995037728,-4.92745412129065,50,"Lineage_1",50
-0.0725633776168086,-5.0939203822982,51,"Lineage_1",51
-0.15898065473739,-5.26038664330575,52,"Lineage_1",52
-0.245397931857972,-5.4268529043133,53,"Lineage_1",53
-0.331815208978553,-5.59331916532085,54,"Lineage_1",54
-0.424911272646937,-5.75524335104813,55,"Lineage_1",55
-0.557254786804759,-5.88775830070369,56,"Lineage_1",56
-0.699610245957698,-6.00977523534454,57,"Lineage_1",57
-0.848603552268787,-6.12359017854292,58,"Lineage_1",58
-1.00379790236982,-6.22879214323367,59,"Lineage_1",59
-1.16467088197347,-6.32508988376926,60,"Lineage_1",60
-1.33065489003166,-6.41228746223131,61,"Lineage_1",61
-1.5011795565071,-6.49023738676261,62,"Lineage_1",62
-1.67567252148428,-6.55887445440354,63,"Lineage_1",63
-1.85564416154049,-6.61063232220375,64,"Lineage_1",64
-2.02742397542866,-6.5693012318226,65,"Lineage_1",65
-2.19363115816491,-6.48238670918312,66,"Lineage_1",66
-2.35959802658927,-6.39501589266139,67,"Lineage_1",67
-2.52519484302653,-6.30694401165154,68,"Lineage_1",68
-2.69079165946379,-6.2188721306417,69,"Lineage_1",69
-2.85638847590106,-6.13080024963185,70,"Lineage_1",70
-3.02198529233832,-6.04272836862201,71,"Lineage_1",71
-3.18758210877558,-5.95465648761216,72,"Lineage_1",72
-3.35317892521284,-5.86658460660232,73,"Lineage_1",73
-3.5187757416501,-5.77851272559247,74,"Lineage_1",74
-3.68437255808737,-5.69044084458263,75,"Lineage_1",75
-3.84996937452463,-5.60236896357278,76,"Lineage_1",76
-4.01556619096189,-5.51429708256294,77,"Lineage_1",77
-4.18116300739915,-5.42622520155309,78,"Lineage_1",78
-4.34675982383642,-5.33815332054325,79,"Lineage_1",79
-4.51235664027368,-5.2500814395334,80,"Lineage_1",80
-4.67795345671094,-5.16200955852356,81,"Lineage_1",81
-4.8435502731482,-5.07393767751371,82,"Lineage_1",82
-5.00914708958547,-4.98586579650387,83,"Lineage_1",83
-5.17474390602273,-4.89779391549402,84,"Lineage_1",84
-5.34034072245999,-4.80972203448418,85,"Lineage_1",85
-5.50593753889725,-4.72165015347433,86,"Lineage_1",86
-5.67153435533451,-4.63357827246449,87,"Lineage_1",87
-5.83713117177178,-4.54550639145464,88,"Lineage_1",88
-6.00272798820904,-4.4574345104448,89,"Lineage_1",89
-6.1683248046463,-4.36936262943495,90,"Lineage_1",90
-6.33392162108357,-4.28129074842511,91,"Lineage_1",91
-6.49951843752083,-4.19321886741526,92,"Lineage_1",92
-6.66511525395809,-4.10514698640542,93,"Lineage_1",93
-6.83071207039535,-4.01707510539557,94,"Lineage_1",94
-6.99630888683262,-3.92900322438573,95,"Lineage_1",95
-7.16190570326988,-3.84093134337588,96,"Lineage_1",96
-7.32750251970714,-3.75285946236604,97,"Lineage_1",97
-7.4930993361444,-3.66478758135619,98,"Lineage_1",98
-7.65869615258167,-3.57671570034635,99,"Lineage_1",99
-7.82429296901893,-3.4886438193365,100,"Lineage_1",100
-7.98988978545619,-3.40057193832666,101,"Lineage_1",101
-8.15548660189345,-3.31250005731681,102,"Lineage_1",102
-8.32108341833072,-3.22442817630697,103,"Lineage_1",103
-8.48668023476798,-3.13635629529712,104,"Lineage_1",104
-8.65227705120524,-3.04828441428728,105,"Lineage_1",105
-8.8178738676425,-2.96021253327743,106,"Lineage_1",106
-8.98347068407977,-2.87214065226759,107,"Lineage_1",107
-9.14906750051703,-2.78406877125774,108,"Lineage_1",108
-9.31466431695429,-2.6959968902479,109,"Lineage_1",109
-9.48026113339155,-2.60792500923805,110,"Lineage_1",110
-9.64585794982882,-2.51985312822821,111,"Lineage_1",111
-9.81145476626608,-2.43178124721836,112,"Lineage_1",112
-9.97705158270334,-2.34370936620852,113,"Lineage_1",113
-10.1426483991406,-2.25563748519867,114,"Lineage_1",114
-10.3082452155779,-2.16756560418883,115,"Lineage_1",115
-10.4738420320151,-2.07949372317898,116,"Lineage_1",116
-10.6394388484524,-1.99142184216914,117,"Lineage_1",117
-10.7994956433971,-1.89610685932353,118,"Lineage_1",118
-10.8943085092339,-1.7349087373655,119,"Lineage_1",119
-10.9807823785039,-1.56847573005818,120,"Lineage_1",120
-11.0622798239483,-1.39955320812366,121,"Lineage_1",121
-11.1390553906006,-1.22843163873268,122,"Lineage_1",122
-11.2109377913926,-1.05519909955602,123,"Lineage_1",123
-11.2777294173692,-0.879940961494158,124,"Lineage_1",124
-11.3392206109274,-0.702753740401731,125,"Lineage_1",125
-11.395189713172,-0.523745708560237,126,"Lineage_1",126
-11.4453805110761,-0.343032643939387,127,"Lineage_1",127
-11.4894970584609,-0.160741823554843,128,"Lineage_1",128
-11.527228236273,0.0229765871380125,129,"Lineage_1",129
-11.5582892803137,0.207939359254968,130,"Lineage_1",130
-11.5824754079747,0.393926043771383,131,"Lineage_1",131
-11.5996344994632,0.580692282087929,132,"Lineage_1",132
-11.6096649426727,0.767976934960225,133,"Lineage_1",133
-11.6125312888392,0.95550846178556,134,"Lineage_1",134
-11.6083139072108,1.14301504743192,135,"Lineage_1",135
-11.59720648539,1.33024059438469,136,"Lineage_1",136
-11.5795159033748,1.51696000637654,137,"Lineage_1",137
-11.5556690992162,1.70299432342825,138,"Lineage_1",138
-11.5262027907539,1.88822260627524,139,"Lineage_1",139
-11.4917231420389,2.07258433084292,140,"Lineage_1",140
-11.4528922827579,2.25607962912889,141,"Lineage_1",141
-11.4104115354992,2.43876505074,142,"Lineage_1",142
-11.3649871638275,2.62074132354437,143,"Lineage_1",143
-11.3172874201842,2.80213474055886,144,"Lineage_1",144
-11.2679657785653,2.98309407080099,145,"Lineage_1",145
-11.21758117065,3.16376046509915,146,"Lineage_1",146
-11.166580510752,3.34425393204875,147,"Lineage_1",147
-11.1153073711753,3.52467019189557,148,"Lineage_1",148
-11.0639541657735,3.70506367869164,149,"Lineage_1",149
-11.0125890066201,3.88545376229619,150,"Lineage_1",150
-5.4556123990155,0.188726625872224,1,"Lineage_2",1
-5.36522893370885,0.203120160449128,2,"Lineage_2",2
-5.27484546840219,0.217513695026031,3,"Lineage_2",3
-5.18446200309554,0.231907229602934,4,"Lineage_2",4
-5.09407853778889,0.246300764179838,5,"Lineage_2",5
-5.00369507248223,0.260694298756741,6,"Lineage_2",6
-4.91331160717558,0.275087833333644,7,"Lineage_2",7
-4.82292814186892,0.289481367910547,8,"Lineage_2",8
-4.73254467656227,0.303874902487451,9,"Lineage_2",9
-4.64216121125561,0.318268437064354,10,"Lineage_2",10
-4.55177774594896,0.332661971641257,11,"Lineage_2",11
-4.46139428064231,0.347055506218161,12,"Lineage_2",12
-4.37101081533565,0.361449040795064,13,"Lineage_2",13
-4.280627350029,0.375842575371967,14,"Lineage_2",14
-4.19020303406988,0.389975786275715,15,"Lineage_2",15
-4.09972613191899,0.403769336279492,16,"Lineage_2",16
-4.0092108338704,0.417308595152249,17,"Lineage_2",17
-3.91865044898008,0.430542515281391,18,"Lineage_2",18
-3.82803067439946,0.443362592085807,19,"Lineage_2",19
-3.73735890999273,0.455810484712627,20,"Lineage_2",20
-3.64663811097239,0.467895362355795,21,"Lineage_2",21
-3.55586280696218,0.47956326205374,22,"Lineage_2",22
-3.4650354736163,0.490819397595249,23,"Lineage_2",23
-3.37415167245629,0.501608708727882,24,"Lineage_2",24
-3.28320935266162,0.511893627004129,25,"Lineage_2",25
-3.19221377450029,0.521696238781662,26,"Lineage_2",26
-3.10116657545997,0.531006706268237,27,"Lineage_2",27
-3.01007252287873,0.53984824874636,28,"Lineage_2",28
-2.91893802886323,0.548262638251631,29,"Lineage_2",29
-2.82776168340301,0.556209440701897,30,"Lineage_2",30
-2.73654702228978,0.563706315520787,31,"Lineage_2",31
-2.64530002525631,0.570797146368081,32,"Lineage_2",32
-2.5540214814421,0.577470863920521,33,"Lineage_2",33
-2.46272081346007,0.583836372720473,34,"Lineage_2",34
-2.37139620788811,0.589844931551621,35,"Lineage_2",35
-2.28004882371354,0.595501400425039,36,"Lineage_2",36
-2.18868895719151,0.60095109788445,37,"Lineage_2",37
-2.09731638042919,0.60618500714908,38,"Lineage_2",38
-2.00593774370582,0.611312163338053,39,"Lineage_2",39
-1.91455339242562,0.61633629378581,40,"Lineage_2",40
-1.82317192515344,0.621411999498086,41,"Lineage_2",41
-1.73179858362936,0.62663260610918,42,"Lineage_2",42
-1.64044024268897,0.632107207467203,43,"Lineage_2",43
-1.54910872778878,0.638011015325775,44,"Lineage_2",44
-1.45780980768236,0.644399221022055,45,"Lineage_2",45
-1.3665761806112,0.65165345568857,46,"Lineage_2",46
-1.27542777928414,0.659911979533898,47,"Lineage_2",47
-1.18441817303962,0.669579429897242,48,"Lineage_2",48
-1.09360433628594,0.680936903144031,49,"Lineage_2",49
-1.00303897959056,0.694111995396126,50,"Lineage_2",50
-0.912843926489501,0.709615005064719,51,"Lineage_2",51
-0.823137658547695,0.72769895538493,52,"Lineage_2",52
-0.734150925732975,0.749038352253307,53,"Lineage_2",53
-0.646063636009501,0.773818501730436,54,"Lineage_2",54
-0.559261856718164,0.802755689404505,55,"Lineage_2",55
-0.474038935167642,0.836069759324673,56,"Lineage_2",56
-0.39132704232084,0.875168706826545,57,"Lineage_2",57
-0.311332782992727,0.919598642270992,58,"Lineage_2",58
-0.234844643883657,0.969829108445977,59,"Lineage_2",59
-0.160608199380316,1.0233538685324,60,"Lineage_2",60
-0.0876321638607914,1.07858830071655,61,"Lineage_2",61
-0.0146889795287994,1.13386493566231,62,"Lineage_2",62
0.0593484536474817,1.18765833946885,63,"Lineage_2",63
0.135855803224213,1.23782551946207,64,"Lineage_2",64
0.217172637947832,1.27927457327599,65,"Lineage_2",65
0.305253005373735,1.30335890114153,66,"Lineage_2",66
0.393932736838716,1.32558037400854,67,"Lineage_2",67
0.479400944576952,1.35818308401978,68,"Lineage_2",68
0.562855490035835,1.39574633426268,69,"Lineage_2",69
0.645910988245464,1.43419273490154,70,"Lineage_2",70
0.729306184739277,1.47189245255621,71,"Lineage_2",71
0.81344418113766,1.50789466954608,72,"Lineage_2",72
0.898567031086843,1.54148871782507,73,"Lineage_2",73
0.982868379177605,1.57694293700262,74,"Lineage_2",74
1.06409656127445,1.61896563174529,75,"Lineage_2",75
1.14576271107895,1.66003192000375,76,"Lineage_2",76
1.23084959373907,1.69344916040376,77,"Lineage_2",77
1.31861357684174,1.71907901042037,78,"Lineage_2",78
1.40832350207591,1.73679319867832,79,"Lineage_2",79
1.49927566583897,1.74638010656086,80,"Lineage_2",80
1.59073641663418,1.74777406158454,81,"Lineage_2",81
1.68198164085491,1.74112854519336,82,"Lineage_2",82
1.77235131648815,1.7267794865603,83,"Lineage_2",83
1.86128084608561,1.70517721701201,84,"Lineage_2",84
1.94826270981832,1.67670793496907,85,"Lineage_2",85
2.03283546521002,1.64174109387381,86,"Lineage_2",86
2.11437115012894,1.60021623130378,87,"Lineage_2",87
2.19345855308953,1.55419283804521,88,"Lineage_2",88
2.27002154119281,1.50408991830773,89,"Lineage_2",89
2.34396264904635,1.4501958698239,90,"Lineage_2",90
2.41522734852272,1.39280942975819,91,"Lineage_2",91
2.4838063345174,1.33223680668924,92,"Lineage_2",92
2.54973383770246,1.26878523377276,93,"Lineage_2",93
2.61308880388659,1.20276093416297,94,"Lineage_2",94
2.67397471788271,1.13444953424521,95,"Lineage_2",95
2.73252167630505,1.064119585163,96,"Lineage_2",96
2.78899995277661,0.992111998581196,97,"Lineage_2",97
2.84376447606847,0.918789152235089,98,"Lineage_2",98
2.89713560784027,0.844443222892896,99,"Lineage_2",99
2.94945502588262,0.769351526305231,100,"Lineage_2",100
3.0010552163456,0.693762735601649,101,"Lineage_2",101
3.05222445327779,0.617881051348231,102,"Lineage_2",102
3.10322369561061,0.541884854675114,103,"Lineage_2",103
3.15431577572269,0.465951205116976,104,"Lineage_2",104
3.20576573917791,0.390260054226891,105,"Lineage_2",105
3.25784315261546,0.315000003959417,106,"Lineage_2",106
3.31083645029105,0.240383307155529,107,"Lineage_2",107
3.36506289382521,0.166659404769041,108,"Lineage_2",108
3.42081398178443,0.0940832174287845,109,"Lineage_2",109
3.4783718167058,0.0229336128830046,110,"Lineage_2",110
3.53805793058262,-0.0464376169310374,111,"Lineage_2",111
3.60022629779212,-0.113588696368143,112,"Lineage_2",112
3.66533789685589,-0.177885333510147,113,"Lineage_2",113
3.73377169875271,-0.238630190541304,114,"Lineage_2",114
3.80579755017838,-0.295065486013167,115,"Lineage_2",115
3.88164426052947,-0.346248324168457,116,"Lineage_2",116
3.96139865600763,-0.391101288435508,117,"Lineage_2",117
4.04493951129778,-0.428424682229698,118,"Lineage_2",118
4.13231875100494,-0.455615485817123,119,"Lineage_2",119
4.22225502986566,-0.472580461005482,120,"Lineage_2",120
4.31356663767348,-0.47876412594783,121,"Lineage_2",121
4.40482217777971,-0.47204936865205,122,"Lineage_2",122
4.49465046841983,-0.454656130704881,123,"Lineage_2",123
4.58196381678875,-0.427332436406891,124,"Lineage_2",124
4.66553272519784,-0.390129633912572,125,"Lineage_2",125
4.74543148737149,-0.345558935010581,126,"Lineage_2",126
4.82155925658728,-0.294811095271933,127,"Lineage_2",127
4.89366005579542,-0.238490493265291,128,"Lineage_2",128
4.96207996421471,-0.177739097184843,129,"Lineage_2",129
5.02728795190467,-0.113543188176179,130,"Lineage_2",130
5.08959800236116,-0.0465264748825766,131,"Lineage_2",131
5.14929344984509,0.0228330153278634,132,"Lineage_2",132
5.20664342703558,0.0941469388989218,133,"Lineage_2",133
5.26187843390544,0.16711330836278,134,"Lineage_2",134
5.31516352220329,0.241516789693741,135,"Lineage_2",135
5.36677789355574,0.317091270272623,136,"Lineage_2",136
5.4169399513087,0.393638492990853,137,"Lineage_2",137
5.46582109394042,0.471010886625935,138,"Lineage_2",138
5.51359416832668,0.54907314454601,139,"Lineage_2",139
5.56043372839016,0.62769979025861,140,"Lineage_2",140
5.60651377769657,0.706774525240754,141,"Lineage_2",141
5.65200596273101,0.786189357957674,142,"Lineage_2",142
5.69707376738812,0.865846095587376,143,"Lineage_2",143
5.74186194145769,0.945660556131755,144,"Lineage_2",144
5.78648799956615,1.02556584545573,145,"Lineage_2",145
5.83103089114918,1.10551754600366,146,"Lineage_2",146
5.87553632166693,1.18549011110655,147,"Lineage_2",147
5.92003064780244,1.26546885565189,148,"Lineage_2",148
5.96452389070962,1.34544820282389,149,"Lineage_2",149
6.0090171336168,1.42542754999588,150,"Lineage_2",150
-5.64908497171974,0.157926284872556,1,"Lineage_3",1
-5.54820015207711,0.173983196988288,2,"Lineage_3",2
-5.44731533243448,0.19004010910402,3,"Lineage_3",3
