"clone_subgroup_id","gex_annotation","N","mean_SHM","median_SHM","sd_SHM"
"1067_1","ASC 3",1,0.0332326283987915,0.0332326283987915,NA
"1068_1","ASC 2",2,0.0748502994011976,0.0748502994011976,0
"1069_1","ASC 2",1,0.0116618075801749,0.0116618075801749,NA
"106_1","NAIVE 2",1,0,0,NA
"1070_1","NAIVE 2",1,0,0,NA
"1071_1","NAIVE 1",1,0.0718562874251497,0.0718562874251497,NA
"1071_2","NAIVE 1",1,0.0718562874251497,0.0718562874251497,NA
"1071_3","IgD-ve Memory",1,0.0600600600600601,0.0600600600600601,NA
"1071_4","NAIVE 1",1,0.0868263473053892,0.0868263473053892,NA
"1071_5","NAIVE 2",1,0.0748502994011976,0.0748502994011976,NA
"1072_1","NAIVE 1",1,0,0,NA
"1073_1","ASC 2",1,0.0383480825958702,0.0383480825958702,NA
"1074_1","NAIVE 2",1,0.00879765395894428,0.00879765395894428,NA
"1075_1","IgD+ve Memory",1,0.104477611940299,0.104477611940299,NA
"1076_1","NAIVE 1",1,0.116766467065868,0.116766467065868,NA
"1077_1","NAIVE 1",1,0.0967741935483871,0.0967741935483871,NA
"1078_1","ASC 3",1,0.0650887573964497,0.0650887573964497,NA
"1079_1","IgD+ve Memory",1,0.0833333333333333,0.0833333333333333,NA
"107_1","DN2",1,0.00302114803625378,0.00302114803625378,NA
"1080_1","NAIVE 2",1,0,0,NA
"1081_1","ASC 1",1,0.128279883381924,0.128279883381924,NA
"1081_1","ASC 2",7,0.0958323895258067,0.0962099125364431,0.0180783191291934
"1081_1","NAIVE 1",1,0.0962099125364431,0.0962099125364431,NA
"1081_2","Cell-Cycling",1,0.075801749271137,0.075801749271137,NA
"1082_1","ASC 1",1,0.0749279538904899,0.0749279538904899,NA
"1082_1","ASC 2",2,0.0749279538904899,0.0749279538904899,0
"1083_1","IgD+ve Memory",1,0.0414201183431953,0.0414201183431953,NA
"1084_1","Cell-Cycling",1,0.00297619047619048,0.00297619047619048,NA
"1085_1","ASC 2",1,0.0664739884393064,0.0664739884393064,NA
"1086_1","IgD-ve Memory",1,0.0766961651917404,0.0766961651917404,NA
"1087_1","ASC 2",1,0.0175438596491228,0.0175438596491228,NA
"1088_1","NAIVE 1",1,0,0,NA
"1089_1","ASC 3",1,0.107033639143731,0.107033639143731,NA
"108_1","IgD-ve Memory",1,0.0516717325227964,0.0516717325227964,NA
"1090_1","DN2",1,0.0114942528735632,0.0114942528735632,NA
"1091_1","IgD+ve Memory",1,0.0461095100864553,0.0461095100864553,NA
"1092_1","IgD+ve Memory",1,0.0903790087463557,0.0903790087463557,NA
"1093_1","IgD-ve Memory",1,0,0,NA
"1094_1","ASC 2",1,0.0486322188449848,0.0486322188449848,NA
"1095_1","ASC 1",1,0.029673590504451,0.029673590504451,NA
"1095_1","ASC 2",2,0.0356083086053412,0.0356083086053412,0
"1096_1","IgD+ve Memory",1,0,0,NA
"1097_1","IgD+ve Memory",1,0.0508982035928144,0.0508982035928144,NA
"1098_1","ASC 2",1,0.0576368876080692,0.0576368876080692,NA
"1099_1","NAIVE 2",1,0,0,NA
"109_1","ASC 1",1,0.0425531914893617,0.0425531914893617,NA
"109_1","Cell-Cycling",1,0.0425531914893617,0.0425531914893617,NA
"10_1","Cell-Cycling",1,0.00282485875706215,0.00282485875706215,NA
"1100_1","IgD+ve Memory",1,0.0414201183431953,0.0414201183431953,NA
"1101_1","IgD+ve Memory",1,0.0670553935860058,0.0670553935860058,NA
"1102_1","NAIVE 2",1,0.0028169014084507,0.0028169014084507,NA
"1103_1","NAIVE 2",1,0,0,NA
"1104_1","Cell-Cycling",1,0.00290697674418605,0.00290697674418605,NA
"1105_1","NAIVE 1",1,0.0489913544668588,0.0489913544668588,NA
"1106_1","NAIVE 1",1,0.00573065902578797,0.00573065902578797,NA
