gene,is_receptor_gene
WDR33,FALSE
LINC00910,FALSE
BHLHE41,FALSE
CENPA,FALSE
CADM1,FALSE
MANF,FALSE
LHFPL6,FALSE
ASF1B,FALSE
HIST1H3G,FALSE
TNF,FALSE
NCAPG,FALSE
MMP2,FALSE
DEGS1,FALSE
C11orf53,FALSE
RRBP1,FALSE
AC006974.2,FALSE
EDN1,FALSE
PTCH2,FALSE
GRIK4,FALSE
CKS2,FALSE
LINC00571,FALSE
CCND2,FALSE
LINC02576,FALSE
AC026369.3,FALSE
RGS1,FALSE
ASPM,FALSE
HIST1H2AC,FALSE
PRG4,FALSE
MZB1,FALSE
GFRA2,FALSE
CCL5,FALSE
MSI2,FALSE
DUT,FALSE
ACTL10,FALSE
PPIB,FALSE
AICDA,FALSE
CNGA4,FALSE
TNFAIP2,FALSE
LINC00649,FALSE
CTH,FALSE
NAALADL2-AS2,FALSE
AC012447.1,FALSE
TXN,FALSE
NCAPH,FALSE
PEG10,FALSE
TBXAS1,FALSE
AC106882.1,FALSE
GBP1,FALSE
PIM1,FALSE
NEIL1,FALSE
BRIP1,FALSE
ZBTB38,FALSE
PKMYT1,FALSE
CD27,FALSE
ZFAND2A,FALSE
HMCES,FALSE
AC007569.1,FALSE
EFEMP1,FALSE
IL32,FALSE
CCDC88A,FALSE
TIMP3,FALSE
TMEM50B,FALSE
FABP5,FALSE
GAS1,FALSE
SELENOS,FALSE
FAAH2,FALSE
GPR160,FALSE
BCAS2,FALSE
TXNDC15,FALSE
LINC00877,FALSE
AC107982.2,FALSE
CENPE,FALSE
TSHR,FALSE
TBC1D14,FALSE
ZBED2,FALSE
TP63,FALSE
CDK6,FALSE
CHPF,FALSE
ALKBH2,FALSE
PECAM1,FALSE
GAS6,FALSE
GADD45B,FALSE
CDCA3,FALSE
PLCB1,FALSE
CCNB1,FALSE
MGP,FALSE
HOXB2,FALSE
SLAMF1,FALSE
TROAP,FALSE
MOXD1,FALSE
PDE4D,FALSE
SOCS3,FALSE
C15orf48,FALSE
ZNF608,FALSE
LINC02669,FALSE
TXNDC11,FALSE
KIFC1,FALSE
AC131011.1,FALSE
MSC-AS1,FALSE
LMAN1,FALSE
HASPIN,FALSE
KIF20A,FALSE
LINC01353,FALSE
FAM111B,FALSE
LINC00322,FALSE
UCHL1,FALSE
DENND1B,FALSE
ARMH1,FALSE
RAB36,FALSE
PTHLH,FALSE
ACSM3,FALSE
DNAJB9,FALSE
LIME1,FALSE
APOD,FALSE
CPNE3,FALSE
NPW,FALSE
AC099681.1,FALSE
TSHZ2,FALSE
TNFRSF18,FALSE
HIST1H4B,FALSE
MAN1A1,FALSE
AC007785.1,FALSE
CENPM,FALSE
SCNN1B,FALSE
TOR3A,FALSE
CDC45,FALSE
APOBEC3C,FALSE
GTF2E1,FALSE
AP001341.1,FALSE
LIMA1,FALSE
LTA,FALSE
CA2,FALSE
OTUD7A,FALSE
TOX,FALSE
IFNG-AS1,FALSE
TUBB2A,FALSE
DPEP1,FALSE
AREG,FALSE
PARD6G-AS1,FALSE
CDCA2,FALSE
S100A11,FALSE
OVOL1,FALSE
CLSPN,FALSE
RPN2,FALSE
SPARC,FALSE
LDLR,FALSE
CPEB4,FALSE
ZNF804A,FALSE
EBI3,FALSE
LRRC23,FALSE
CDCA5,FALSE
HIST1H4I,FALSE
SPCS3,FALSE
MCM7,FALSE
OSGIN1,FALSE
CADPS2,FALSE
AC009313.1,FALSE
APOE,FALSE
AL513303.1,FALSE
SLC37A1,FALSE
P4HB,FALSE
ICA1,FALSE
GPR15,FALSE
KIF23,FALSE
MYO16,FALSE
CENPW,FALSE
MYL2,FALSE
AC087280.2,FALSE
SELENOM,FALSE
CROCC,FALSE
SRPRB,FALSE
CDH1,FALSE
PLPP5,FALSE
LRMP,FALSE
SRM,FALSE
PELI1,FALSE
POU2AF1,FALSE
SLC7A5,FALSE
AL118516.1,FALSE
TCEAL9,FALSE
PACSIN2,FALSE
ATP8B4,FALSE
DTX1,FALSE
MME,FALSE
MDM2,FALSE
CRIP1,FALSE
CCR1,FALSE
IL23A,FALSE
DDX58,FALSE
INHBA,FALSE
SYNE2,FALSE
GTSE1,FALSE
TMX4,FALSE
TFPI2,FALSE
NPHS1,FALSE
PANO1,FALSE
LINC01010,FALSE
PLCL2,FALSE
MMP7,FALSE
POLQ,FALSE
PPM1E,FALSE
CXorf21,FALSE
OSTC,FALSE
TMEM178B,FALSE
EMP1,FALSE
KMO,FALSE
TXNRD1,FALSE
WFDC2,FALSE
ASS1,FALSE
DTL,FALSE
CDKN3,FALSE
SEL1L,FALSE
MACROD2,FALSE
ID2,FALSE
LINC02029,FALSE
PIM2,FALSE
YAE1,FALSE
TPM4,FALSE
GSTP1,FALSE
LY96,FALSE
PCNA,FALSE
GMDS,FALSE
HELLS,FALSE
IFITM3,FALSE
DNASE1L3,FALSE
LEO1,FALSE
AC246787.2,FALSE
SERPING1,FALSE
HSP90B1,FALSE
STAG3,FALSE
SDK1,FALSE
PRDX2,FALSE
CD59,FALSE
AC005487.1,FALSE
EPOP,FALSE
NDC80,FALSE
CARMIL1,FALSE
NEDD9,FALSE
HSP90AA1,FALSE
LRRC4C,FALSE
HIST1H2AH,FALSE
CST7,FALSE
IGFBP4,FALSE
SGCZ,FALSE
TMC3-AS1,FALSE
AC004083.1,FALSE
RDH10,FALSE
AC011287.1,FALSE
AL589693.1,FALSE
NME1,FALSE
ST3GAL6,FALSE
AC006387.1,FALSE
PDGFA,FALSE
CLPTM1L,FALSE
MAL,FALSE
AC005540.1,FALSE
TP53INP1,FALSE
ANXA2,FALSE
TUBB3,FALSE
KDELR2,FALSE
METTL21A,FALSE
MGLL,FALSE
RSPH4A,FALSE
CHST2,FALSE
C12orf75,FALSE
HDLBP,FALSE
LMNA,FALSE
MAFB,FALSE
LILRB4,FALSE
CCR2,FALSE
PDE3B,FALSE
ORC6,FALSE
AC243960.1,FALSE
SOX9,FALSE
LGALS1,FALSE
AC119673.2,FALSE
LMAN2,FALSE
CKAP2L,FALSE
MCM3,FALSE
GNG12,FALSE
HIST1H2BG,FALSE
GGH,FALSE
NEAT1,FALSE
ADA2,FALSE
CLECL1,FALSE
SAMD11,FALSE
PLA2G2A,FALSE
AL133415.1,FALSE
GLCCI1,FALSE
AC061992.2,FALSE
KRTCAP2,FALSE
LINC02109,FALSE
TRPM4,FALSE
HCAR3,FALSE
RNASE6,FALSE
AL512603.2,FALSE
AC007686.4,FALSE
RGS16,FALSE
KDELR1,FALSE
ICAM2,FALSE
FNDC3A,FALSE
NUF2,FALSE
CSRP1,FALSE
LINC02365,FALSE
RMI2,FALSE
CCDC167,FALSE
HMOX1,FALSE
MAD2L1,FALSE
AL133467.1,FALSE
MEIKIN,FALSE
SPANXA2-OT1,FALSE
FER1L6-AS1,FALSE
AC110620.2,FALSE
AP000893.2,FALSE
LINC01483,FALSE
AL160314.2,FALSE
AL136962.1,FALSE
PROCR,FALSE
GHET1,FALSE
CA8,FALSE
LMNB1,FALSE
LRRC8C,FALSE
PLA2G2D,FALSE
CDH3,FALSE
AC009315.1,FALSE
ITGAX,FALSE
AC080129.1,FALSE
SEC24A,FALSE
IL2RA,FALSE
LDHC,FALSE
LOXL2,FALSE
SPATA17,FALSE
CMSS1,FALSE
EPB41L1,FALSE
MAFF,FALSE
RASGRP3,FALSE
EIF2AK4,FALSE
STEAP1B,FALSE
ENC1,FALSE
MAML3,FALSE
ARSA,FALSE
PDIA6,FALSE
AL450326.1,FALSE
LUCAT1,FALSE
ST6GALNAC3,FALSE
CEP72,FALSE
SMC4,FALSE
BUB1,FALSE
IDH2,FALSE
TUBB2B,FALSE
AMPD3,FALSE
HSPH1,FALSE
HIST1H2BO,FALSE
AC010186.1,FALSE
PHPT1,FALSE
IL6,FALSE
NEK2,FALSE
HIST1H2BK,FALSE
KCNN3,FALSE
BLVRB,FALSE
TMEM220-AS1,FALSE
UPP1,FALSE
TECR,FALSE
TIFA,FALSE
AL139020.1,FALSE
MEI1,FALSE
KIF14,FALSE
TSBP1,FALSE
CLEC3B,FALSE
TGFB3,FALSE
AP002008.3,FALSE
SERPINA9,FALSE
ESR2,FALSE
TMEM107,FALSE
IFI6,FALSE
AC016907.2,FALSE
WNT16,FALSE
SSBP2,FALSE
AL021155.5,FALSE
SLC38A5,FALSE
