pt_bin,UMAP_1,UMAP_2,mean_pt,n
1,-1.4146677053894243,3.1232853754361094,0.002855689023841293,820
2,-0.42123452419297314,2.3256669863064707,0.02512689602733167,313
3,-0.21253124469773388,1.9072432144482554,0.04188392951915537,411
4,-0.06252816909806347,1.7753494604428233,0.058652124841071705,465
5,0.24758746629698658,1.4488537534077586,0.07530996707070896,494
6,0.9496318936918535,1.2365402801831187,0.09192242114640856,558
7,1.1728294730757036,1.0188111289341868,0.10837831156150252,633
8,2.0724727750395098,0.7425673230488719,0.12513241699589558,704
9,2.2189917207334795,0.4213727637131633,0.14178919650102423,688
10,2.6418342233274736,0.21372230713562385,0.15833452918765198,716
11,2.832197749671773,0.10062829674528256,0.17468419271652277,674
12,2.9600506663893023,-0.2953606621424733,0.1914458394678071,641
13,3.40319308048232,-0.3942145780722676,0.20810223563272137,559
14,3.3225267768476763,-0.7396609858672201,0.2250578417317081,550
15,3.372382724342183,-1.0234550611178457,0.24183696479141137,437
16,3.6126995921705523,-1.2528674976031362,0.2584363001370127,366
17,3.6488359809492388,-1.600724436442095,0.2745191147845091,320
18,3.6899724841688433,-1.6413652078311025,0.2918154314332198,275
19,3.996525371131734,-1.5674521104495107,0.30782752734617247,241
20,4.037468040046528,-2.0074183122317373,0.32503313698517133,218
21,4.176219546851948,-2.0121847764651357,0.34130510468662956,187
22,3.94299324756606,-2.3463437930743276,0.35808161849797643,190
23,4.127103412208394,-2.204323686758715,0.37514738054519536,153
24,3.8949664474104204,-2.285156525770861,0.3911599076723407,122
25,4.127167785224751,-2.2970420495669424,0.40860503911082724,111
26,3.9509669185255327,-2.5684258119265615,0.4243110367443718,117
27,4.020388686714009,-2.6300760881106435,0.4409406205063733,115
28,3.896656119880513,-2.82789460579558,0.4572601305260062,115
29,3.679771983680562,-2.795078672568041,0.4743019387776793,97
30,3.825281703529195,-3.0097362176577627,0.49008000848934724,99
31,3.1482644916151323,-3.3002684489886343,0.5089474528550653,138
32,2.663935744819478,-3.367779292265612,0.5282480091140871,88
33,-1.5662871881748877,-6.818519510428148,0.5428618339286991,52
34,-1.630898421945735,-6.7004200593630845,0.5555526996083712,11
35,-2.277569270076915,-3.291213311354357,0.5748401692722134,10
36,-10.655959045829936,-1.0362194554011404,0.5928375855310768,16
37,-10.734613335075542,-0.19543633619948014,0.6094914543334667,17
38,-11.582810318412944,-0.07910669604940995,0.6263310935512038,14
39,-10.93891707653062,-0.09292287389441117,0.6425831086872941,25
40,-11.43106499904649,0.673265300591749,0.6569551835993387,30
41,-11.459227001609966,0.801232807238859,0.6758474410101792,42
42,-11.216269886436626,1.1512001379330576,0.6925466134696093,62
43,-11.56071654552476,1.4472252949078501,0.7086555041571969,63
44,-11.247854626121685,1.6068615539868296,0.7245832294056805,62
45,-11.307954704704448,1.103924594720167,0.7407954440089898,63
46,-11.502692615928813,1.1893958075840891,0.758198265712217,56
47,-11.585811531486675,1.6623583658535899,0.7755305243245542,58
48,-11.521509087028667,1.693829677899641,0.7925347897929509,76
49,-11.767047798576519,1.4684986694653452,0.8079887338933152,82
50,-11.481571114006206,1.7813732846577586,0.824877894413,82
51,-11.621381199302837,2.1537521704037608,0.8415247813262269,122
52,-11.588332092704936,1.68415852626161,0.8588669982173207,101
53,-11.69462767833726,1.7429492100079478,0.8746155497806701,103
54,-12.00035849803941,1.3796479328473032,0.8914006757275038,121
55,-11.70690671199815,1.2685339077313365,0.9079388371403139,72
56,-11.870133793296977,1.0550544782479228,0.925685655712168,96
57,-11.824342644157573,0.7349437995751322,0.9409757315973676,58
58,-12.021158611717388,0.22768968333796874,0.9581650035700241,66
59,-11.98181143993394,0.7540800197918833,0.9741606380206554,61
60,-11.965720093193218,0.5977265461285532,0.9976009100304616,193
