gene
AL627309.5
AP006222.2
LINC01409
LINC01128
LINC00115
FAM41C
SAMD11
NOC2L
KLHL17
PLEKHN1
HES4
ISG15
AGRN
C1orf159
AL390719.3
LINC01342
TNFRSF18
TNFRSF4
SDF4
B3GALT6
C1QTNF12
UBE2J2
SCNN1D
ACAP3
PUSL1
INTS11
CPTP
TAS1R3
DVL1
AURKAIP1
CCNL2
MRPL20-AS1
MRPL20
ANKRD65
ATAD3C
ATAD3B
ATAD3A
SSU72
AL645728.1
AL691432.2
MIB2
MMP23B
CDK11B
FO704657.1
SLC35E2B
CDK11A
SLC35E2A
NADK
GNB1
AL109917.1
TMEM52
PRKCZ
FAAP20
SKI
AL590822.3
MORN1
RER1
PEX10
PLCH2
PANK4
AL139246.5
TNFRSF14-AS1
TNFRSF14
AL139246.3
PRXL2B
TTC34
ARHGEF16
MEGF6
TPRG1L
WRAP73
TP73
AL136528.1
SMIM1
LRRC47
CEP104
DFFB
C1orf174
LINC01134
NPHP4
KCNAB2
RPL22
RNF207
ICMT
LINC00337
ACOT7
AL031848.2
TNFRSF25
PLEKHG5
NOL9
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
CAMTA1-DT
CAMTA1
VAMP3
PER3
Z98884.1
TNFRSF9
PARK7
ERRFI1
SLC45A1
RERE
RERE-AS1
ENO1
ENO1-AS1
SLC2A7
SLC2A5
GPR157
MIR34AHG
LNCTAM34A
H6PD
SPSB1
LINC02606
SLC25A33
TMEM201
PIK3CD
PIK3CD-AS2
CLSTN1
CTNNBIP1
LZIC
AL357140.2
NMNAT1
UBE4B
KIF1B
PGD
CENPS
CORT
DFFA
PEX14
CASZ1
AL139423.1
TARDBP
AL109811.2
SRM
EXOSC10
AL109811.1
EXOSC10-AS1
MTOR
UBIAD1
DISP3
FBXO2
FBXO44
FBXO6
MAD2L2
AGTRAP
C1orf167
MTHFR
CLCN6
AL021155.5
KIAA2013
PLOD1
MFN2
MIIP
TNFRSF1B
VPS13D
