celltype,n_cells
Transitional,189
NAIVE 1,1943
NAIVE 2,1776
Early-Activation,279
IgD+ve Memory,2708
IgD-ve Memory,3040
HSP+,561
DN2,597
ASC 1,175
ASC 2,1618
ASC 3,221
Cell-Cycling,322
