"package","version"
"Seurat","5.5.1"
"SingleCellExperiment","1.32.0"
"slingshot","2.18.0"
"dplyr","1.2.1"
"tibble","3.3.1"
"readr","2.2.0"
"ggplot2","4.0.3"
"ggrepel","0.9.8"
"viridis","0.6.5"
"patchwork","1.3.2"
